,inputs,targets,outputs
696,kapda,कपड़ा,कामा
697,kpada,कपड़ा,काम्हा
698,kapdo,कपड़ो,कामिका
699,kapdon,कपड़ो,काम्यून
700,kaping,कपिंग,कामा
701,kping,कपिंग,कुशलता
702,kapolkalpana,कपोलकल्पना,कामकांतर
703,kabaddi,कबड्डी,कामा
704,kabr,कब्र,कामान
705,kabra,कब्र,कांडे
706,kabren,कब्रें,काम्य
707,kabron,कब्रों,काम्या
708,kamjor,कमज़ोर,कामा
709,kamzor,कमज़ोर,कामकाज
710,kamatar,कमतर,कामना
711,kamtar,कमतर,कामनाथ
712,kalamjeet,कमलजीत,कार्यक्रमण
713,kamaljeet,कमलजीत,कामा
714,kamaauu,कमाऊ,कांडा
715,kamau,कमाऊ,कामा
716,kamaate,कमाते,काटना
717,kamate,कमाते,कामक
718,kamere,कमेरे,कामिका
719,kmere,कमेरे,कादिर
720,karanj,करंज,कार्यावृत्र
721,kranj,करंज,क्षेत्रीय
722,karanjiya,करंजिया,कर्मा
723,kardhe,करघे,कर्मावती
724,karghe,करघे,कर्माधिकार
725,karachana,करछना,कार्यक्षिणाम
726,karchhana,करछना,कार्यक्रम
727,karna,करना,कर्मा
728,karpatri,करपात्री,कार्यकाल
729,karam,करम,कार्या
730,karoor,करूर,कर्म
731,karur,करूर,कार्यप्रदर्य
732,karnataka,कर्नाटका,कर्मान
733,karvi,कर्वी,कर्मानुसार
734,kurvi,कर्वी,कुल्ला
735,kalmein,कलमें,कर्मावती
736,kalmen,कलमें,कार्यक्षेत्र
737,kalraj,कलराज,कार्यावती
738,kalika,कलिका,कार्यवाद
739,kalpanaon,कल्पनाओं,कार्यकाल
740,kalpnaon,कल्पनाओं,कार्यक्रम
741,kavvaliyon,कव्वालियों,काम्या
742,qawwaliyon,कव्वालियों,काम्य
743,kavvali,कव्वाली,काम्य
744,qawwali,कव्वाली,कामिक
745,kashton,कष्टों,कांगड़ी
746,kasarat,कसरत,कान्या
747,kasrat,कसरत,कुमानी
748,kasara,कसारा,कार्यावास
749,kasida,कसीदा,कार्या
750,kahane,कहने,कामा
751,kahne,कहने,काम्य
752,kahlaya,कहलाया,कामकाज
753,kahaniyon,कहानियों,कामका
754,kile,क़िले,किरायल
755,kanji,कांजी,कांचा
756,cant,कांट,कैंड
757,kant,कांट,कंपल
758,kanti,कांति,कांचा
759,kakoo,काकू,कामकाज
760,kaku,काकू,कांचा
761,kaagaj,कागज़,कामिका
762,kaagaz,कागज़,काम्य
763,kagaj,कागज़,काटना
764,kagaz,कागज़,कामान
765,kaaji,काजी,कामका
766,kaji,काजी,कामकाल
767,kazi,काजी,काम्य
768,qazi,काजी,कांडा
769,kajoo,काजू,कांचना
770,kaju,काजू,कामकाज
771,kapadi,कापड़ी,कामकाज
772,kapdi,कापड़ी,काम्य
773,kamraj,कामराज,कामकार
774,kamottejana,कामोत्तेजना,कामा
775,kamottejna,कामोत्तेजना,कामक
776,kailana,कायलाना,कोर्ट
777,kaylana,कायलाना,कोल्ड
778,carfi,कार्की,कोल्ड
779,karki,कार्की,कर्मावत
780,kartik,कार्तिक,कार्यक्रिया
781,karyakartaon,कार्यकर्ताओं,कार्यक्रम
782,karykartaaon,कार्यकर्ताओं,कर्मा
783,karykartaon,कार्यकर्ताओं,कार्यावृति
784,karyabhar,कार्यभार,कार्यकार
785,karybhar,कार्यभार,कर्मा
786,karyarat,कार्यरत,कार्यक्षेत्र
787,karyrat,कार्यरत,कार्यक्रिया
788,kaalpi,कालपी,कार्यक्रम
789,kalapi,कालपी,कार्यकार
790,kalpi,कालपी,कार्यक्रम
791,kalika,कालिका,कार्यक्रम
792,kalighat,कालीघाट,कार्यक्रम
793,coldvel,काल्डवेल,कैरी
794,kaldvel,काल्डवेल,कार्यकार
795,kaldwell,काल्डवेल,कार्यविधार
796,kaav,काव,काम्य
797,kav,काव,काटने
798,kaasht,काश्त,कांगड़ा
799,kasht,काश्त,कार्यकार
800,kasim,कासिम,कांचा
801,qasim,कासिम,कांगली
802,kasimabad,कासिमाबाद,कांच
803,kiya,किया,किस्टर
804,kiliyan,किलियन,किरा
805,killat,किल्लत,किरा
806,killi,किल्ली,किरा
807,kisaani,किसानी,किस्को
808,kisani,किसानी,किरा
809,kisanon,किसानों,किल्हा
810,keede,कीड़े,किरा
811,kide,कीड़े,किल्ड
812,keynote,कीनोट,केंद्र
813,kinote,कीनोट,किश्रा
814,kiratpur,कीरतपुर,किल्ला
815,kundal,कुंडल,कोटा
816,kundaliya,कुंडलियाँ,कुल्हा
817,kundaliyan,कुंडलियाँ,कुश्रह
818,kutta,कुत्ता,कुशली
819,kuposhit,कुपोषित,कुल्ले
820,kumau,कुमाऊ,कुमार
821,kumavat,कुमावत,कुमान
822,kumawat,कुमावत,कुर्किंग
823,kural,कुराल,कुर्तनात्मक
824,kurmi,कुर्मी,कुर्क
825,kursiyon,कुर्सियों,कुल्ले
826,kush,कुश,कुर्किंग
827,kushaan,कुषाण,कुश्ता
828,kushan,कुषाण,कुशली
829,kusumalataa,कुसुमलता,कुर्मान्य
830,kusumalta,कुसुमलता,कुमान
831,kusumlata,कुसुमलता,कुशली
832,koot,कूट,कुशल
833,kut,कूट,कुश्रे
834,kritika,कृतिका,क्रिया
835,kpo,केपीओ,कांचा
836,canterbari,कैंटरबरी,कैप्ट
837,canterbury,कैंटरबरी,कम्यू
838,candidate,कैंडिडेट,कार्यावती
839,katrina,कैटरीना,कामिक
840,caitlyn,कैटलिन,कॉली
841,cateline,कैटलिन,कैंड
842,catlin,कैटलिन,कैंट
843,cadmium,कैडमियम,कैंड
844,catholic,कैथोलिक,कैंट
845,catholicon,कैथोलिकों,कैंक
846,kaetholikon,कैथोलिकों,कैंटर
847,capacitor,कैपेसिटर,कैंट
848,carat,कैरेट,केन
849,cavity,कैविटी,कम्यून
850,cavalry,कैवेलरी,कम्यू
851,kaivelari,कैवेलरी,कोटिक
852,complex,कॉम्प्लेक्स,कम्यून
853,kocchi,कोच्चि,कुमारत
854,kochi,कोच्चि,कुश्रवार
855,corridor,कोरिडोर,क्रॉक्स
856,corolla,कोरोला,कैंक
857,korola,कोरोला,कार्यावती
858,caolan,कोलन,कोल्ड
859,colan,कोलन,कें
860,colon,कोलन,केनिया
861,calling,कोलिंग,कॉल्ट
862,koling,कोलिंग,कोस्टी
863,colorado,कोलोराडो,कैंट
864,kolorado,कोलोराडो,कुर्गी
865,kaushal,कौशल,कुल्या
866,kaushalata,कौशलता,कुंग
867,kaushalta,कौशलता,कुंगड़ा
868,kaushambi,कौशाम्बी,कार्यावरण
869,cute,क्यूट,कैंट
870,quete,क्यूट,कैंट
871,cube,क्यूब,कोल्ड
872,cubeck,क्यूबेक,कोकार
873,quebec,क्यूबेक,कोमिन
874,cubes,क्यूब्स,कंटी
875,krantiyon,क्रांतियों,क्रिया
876,cric,क्रिक,क्लोरिया
877,crick,क्रिक,क्राइट
878,cricket,क्रिकेट,क्रेटर्स
879,cricketer,क्रिकेटर,क्रांसपोर्ड
880,cricketing,क्रिकेटिंग,क्रिप
881,kriyayog,क्रियायोग,कृष्ण
882,christian,क्रिश्चयन,क्रिप्ट
883,kruger,क्रूगर,कृपांत
884,craig,क्रेग,क्रेड
885,creg,क्रेग,क्रेंस
886,cradle,क्रैडल,क्लोरिया
887,chrom,क्रोम,क्रिप्टिक
888,chrome,क्रोम,क्लोरिया
889,client,क्लांइट,क्रिया
890,clock,क्लाक,क्राउन
891,clasen,क्लासें,क्रिप्ट
892,classen,क्लासें,क्लाइड
893,classon,क्लासों,क्राइड
894,clay,क्ले,क्रांसिस्ट
895,claris,क्लेरिस,क्रांसिस्ट
896,cleris,क्लेरिस,क्रांसिया
